Transaction Time,Device IP,TransactionID,Location,Type,Purpose,Amount Spikes,Debited Amt,Credited Amt,Total Amt,FRAUD,Amount_Spike_Flag,hour,is_night,time_gap_sec,prev_balance,balance_drain_pct,lat,lon,prev_lat,prev_lon,travel_speed_kmh,impossible_travel_flag,ip_change_flag,location_change_flag,velocity_1h,debit_zscore,timegap_zscore,velocity_zscore,anomaly_score,rule_score,rule_score_norm,anomaly_score_norm,final_risk,decision,predicted_fraud
2016-01-01 09:30:00,10.20.30.45,TXN786579303,Koramangala,Credit,Salary,No,0,50000,75000,0,0,9,0,0.0,75000.0,0.0,12.9352,77.6245,,,0.0,0,1,1,1.0,-0.5099181994313654,-0.6390118406380183,-0.5109123536749547,-0.24620675218787536,40,0.2857142857142857,0.1829036617277948,0.22402791132239114,ALLOW,0
2016-01-03 16:25:17,172.19.8.90,TXN911514914,Koramangala,Debit,Entertainment,No,3161,0,71839,0,0,16,0,197717.0,75000.0,0.042146666666666666,12.9352,77.6245,12.9352,77.6245,0.0,0,1,0,1.0,2.9213996590745057,5.170488444934771,-0.5109123536749547,0.015880667038352003,20,0.14285714285714285,0.7999010067878245,0.5370834612155518,OTP_REQUIRED,0
2016-01-04 12:58:36,49.207.45.128,TXN773715057,MG Road,Debit,Transport,No,425,0,71414,0,0,12,0,73999.0,71839.0,0.005916006625927421,12.9758,77.6046,12.9352,77.6245,0.24339788070169177,0,1,1,1.0,-0.04857365977144919,1.535293917754537,-0.5109123536749547,-0.2017945778727832,40,0.2857142857142857,0.2874573015845107,0.2867600952364207,ALLOW,0
2016-01-04 23:18:53,49.207.45.128,TXN513140753,MG Road,Debit,Groceries,No,2071,0,69343,0,0,23,0,37217.0,71414.0,0.028999915982860502,12.9758,77.6046,12.9758,77.6046,0.0,0,0,0,1.0,1.7381866044173087,0.4545318208992421,-0.5109123536749547,-0.030197516814736258,0,0.0,0.6914253035797921,0.41485518214787526,OTP_REQUIRED,0
2016-01-06 13:47:35,10.20.30.45,TXN694021782,Jayanagar,Credit,Product Return,No,0,1663,71006,0,0,13,0,138522.0,69343.0,-0.023982233246326232,12.925,77.5938,12.9758,77.6046,0.14992001143974584,0,1,1,1.0,-0.5099181994313654,3.4311672464314493,-0.5109123536749547,-0.12136154464132354,40,0.2857142857142857,0.4768100301719863,0.40037173238890605,OTP_REQUIRED,0
2016-01-06 22:31:05,10.20.30.45,TXN873869166,Whitefield,Credit,Cashback,No,0,835,71841,0,0,22,0,31410.0,71006.0,-0.01175956961383545,12.9698,77.75,12.925,77.5938,2.0223343560395244,0,0,1,1.0,-0.5099181994313654,0.283905278121832,-0.5109123536749547,-0.2375882662254758,20,0.14285714285714285,0.20319301011749244,0.1790586632133526,ALLOW,0
2016-01-07 20:24:17,49.207.45.128,TXN465260635,MG Road,Debit,Fuel,No,2032,0,69809,0,0,20,0,78792.0,71841.0,0.028284684233237288,12.9758,77.6046,12.9698,77.75,0.7204938380019966,0,1,1,1.0,1.6958514584249869,1.676126192514676,-0.5109123536749547,-0.09363987602641799,40,0.2857142857142857,0.5420714455673844,0.4395285816261449,OTP_REQUIRED,0
2016-01-07 23:46:15,49.207.45.128,TXN587182120,Whitefield,Debit,Fuel,No,1834,0,67975,0,0,23,0,12118.0,69809.0,0.026271684166797978,12.9698,77.75,12.9758,77.6046,4.684696359453154,0,0,1,1.0,1.4809191787716613,-0.2829497697965071,-0.5109123536749547,-0.14060245280468542,20,0.14285714285714285,0.4315137344230825,0.31605109779670665,OTP_REQUIRED,0
2016-01-09 09:24:17,49.207.45.128,TXN645119047,HSR Layout,Debit,Healthcare,No,630,0,67345,0,0,9,0,121082.0,67975.0,0.009268113276940052,12.9116,77.6474,12.9698,77.75,0.38250277099413305,0,0,1,1.0,0.17395723582921627,2.9187293428602366,-0.5109123536749547,-0.1532173860907846,20,0.14285714285714285,0.40181608480444825,0.2982325080255261,ALLOW,0
2016-01-09 15:05:54,172.16.10.22,TXN264109919,Indiranagar,Debit,Food & Drink,Yes,1122,0,66223,0,1,15,0,20497.0,67345.0,0.016660479619867843,12.9784,77.6408,12.9116,77.6474,1.3106229052963132,0,1,1,1.0,0.7080313852708134,-0.03675038940526912,-0.5109123536749547,-0.04647749722165706,40,0.2857142857142857,0.6530995238901188,0.5061454286197856,OTP_REQUIRED,0
